"Obs. Date","Obs. value","Series key","Indicator title","Units","Obs. status"
"2003-01","115.96","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2003-02","105.22","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2003-03","115.48","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2003-04","113.03","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2003-05","107.84","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2003-06","106.79","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2003-07","115.22","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2003-08","96.30","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2003-09","109.29","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2003-10","107.74","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2003-11","101.50","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2003-12","107.79","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2004-01","111.95","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2004-02","92.68","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2004-03","105.34","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2004-04","104.44","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2004-05","97.32","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2004-06","94.96","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2004-07","100.36","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2004-08","92.76","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2004-09","94.40","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2003-01","5.14","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2003-02","2.82","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2003-03","2.90","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2003-04","2.66","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2003-05","2.41","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2003-06","2.18","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2003-07","2.56","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2003-08","2.50","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2003-09","2.63","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2003-10","3.04","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2003-11","2.84","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2003-01","8.09","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2003-02","8.08","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2003-03","6.07","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2003-04","6.00","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2003-05","7.53","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2003-06","6.67","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2003-07","5.77","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2003-08","4.74","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2003-09","5.37","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2003-10","8.16","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2003-11","7.57","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2003-12","7.70","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2004-01","10.61","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2004-02","8.79","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2004-03","8.28","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2004-04","7.07","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2004-05","7.35","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2004-06","6.50","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2004-07","7.30","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2004-08","6.42","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2004-09","7.15","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2004-10","10.38","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2004-11","8.44","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2004-12","8.57","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2005-01","10.54","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2005-02","8.30","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2005-03","10.31","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2005-04","9.79","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2005-05","6.27","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2005-06","7.17","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2004-10","93.06","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2004-11","93.36","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2004-12","99.29","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2005-01","107.24","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2005-02","93.36","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2005-03","96.54","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2005-04","90.84","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2005-05","92.97","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2005-06","99.10","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2005-07","91.99","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2005-08","92.72","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2005-09","95.06","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2005-10","96.89","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2005-11","100.06","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2005-12","112.43","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2006-01","117.16","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2006-02","102.82","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2006-03","119.68","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2006-04","107.14","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2006-05","116.05","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2006-06","119.26","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2006-07","127.96","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2006-08","126.72","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2006-09","123.11","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2006-10","144.25","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2006-11","136.90","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2006-12","144.12","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2007-01","181.40","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2007-02","154.41","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2007-03","162.78","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2003-12","3.62","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2004-01","4.28","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2004-02","3.05","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2004-03","2.35","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2004-04","2.77","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2004-05","2.64","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2004-06","2.40","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2004-07","2.80","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2004-08","2.21","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2004-09","2.44","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2004-10","2.64","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2004-11","2.43","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2004-12","2.91","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2005-01","4.41","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2005-02","3.11","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2005-03","3.12","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2005-04","2.55","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2005-05","2.98","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2005-06","2.59","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2005-07","2.68","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2005-08","2.76","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2005-09","2.89","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2005-10","3.29","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2005-11","3.61","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2005-12","3.82","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2006-01","5.38","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2006-02","4.12","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2006-03","4.11","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2005-07","7.83","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2005-08","5.52","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2005-09","7.69","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2005-10","8.45","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2005-11","8.53","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2005-12","7.93","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2006-01","13.73","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2006-02","11.43","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2006-03","9.54","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2006-04","6.75","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2006-05","7.35","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2006-06","7.70","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2006-07","7.56","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2006-08","7.67","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2006-09","6.51","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2006-10","7.75","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2006-11","6.87","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2006-12","5.82","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2007-01","7.29","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2007-02","6.75","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2007-03","6.04","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2007-04","5.48","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2007-05","5.31","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2007-06","5.90","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2007-07","6.23","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2007-08","5.46","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2007-09","5.13","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2007-10","6.72","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2007-11","6.89","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2007-12","6.64","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2007-04","168.77","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2007-05","170.90","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2007-06","171.83","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2007-07","196.85","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2007-08","190.30","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2007-09","195.06","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2007-10","222.03","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2007-11","191.86","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2007-12","193.67","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2008-01","260.04","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2008-02","205.52","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2008-03","200.96","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2008-04","235.23","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2008-05","204.20","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2008-06","207.66","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2008-07","258.28","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2008-08","198.38","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2008-09","214.09","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2008-10","293.35","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2008-11","200.46","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2006-04","4.17","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2006-05","5.16","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2006-06","4.89","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2006-07","5.31","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2006-08","4.13","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2006-09","4.31","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2006-10","6.12","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2006-11","5.94","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2006-12","5.47","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2007-01","8.19","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2007-02","8.15","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2007-03","7.91","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2007-04","7.28","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2007-05","6.42","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2007-06","7.90","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2008-01","7.42","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2008-02","6.59","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2008-03","5.28","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2008-04","5.21","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2008-05","4.48","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2008-06","4.49","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2008-07","5.55","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2008-08","4.68","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2008-09","4.70","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2008-10","6.13","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2008-11","5.43","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2008-12","7.78","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2009-01","12.65","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2009-02","7.96","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2009-03","10.88","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2009-04","11.41","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2009-05","10.49","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2009-06","10.47","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
