"Obs. Date","Obs. value","Series key","Indicator title","Units","Obs. status"
"2008-11","1.83","MIR.M.U2.B.L22.G.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2008-12","2.06","MIR.M.U2.B.L22.G.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2009-01","2.64","MIR.M.U2.B.L22.G.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2009-02","1.27","MIR.M.U2.B.L22.G.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2009-03","1.56","MIR.M.U2.B.L22.G.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2009-04","1.58","MIR.M.U2.B.L22.G.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2009-05","1.77","MIR.M.U2.B.L22.G.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2009-06","1.52","MIR.M.U2.B.L22.G.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2009-07","2.36","MIR.M.U2.B.L22.G.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2009-08","1.26","MIR.M.U2.B.L22.G.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2009-09","1.46","MIR.M.U2.B.L22.G.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2009-10","1.65","MIR.M.U2.B.L22.G.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2009-11","1.76","MIR.M.U2.B.L22.G.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2009-12","2.37","MIR.M.U2.B.L22.G.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2010-01","2.64","MIR.M.U2.B.L22.G.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
